Library,# Total Functions,% Unused Functions
ld-linux-x86-64.so.2,207.0,93.71980676328502
libEGL.so.1,44.0,97.72727272727273
libGL.so.1,6940.0,98.51585014409221
libGLU.so.1,59.0,94.91525423728814
libGLX.so.0,82.0,96.34146341463415
libGLdispatch.so.0,32.0,93.75
libOpenGL.so.0,1044.0,96.26436781609196
libQt6Charts.so.6,3887.0,98.37921276048365
libQt6Core.so.6,5971.0,98.2247529727014
libQt6Core5Compat.so.6,334.0,97.60479041916167
libQt6DBus.so.6,405.0,99.75308641975309
libQt6Gui.so.6,7709.0,98.57309638085356
libQt6OpenGL.so.6,947.0,99.57761351636748
libQt6OpenGLWidgets.so.6,38.0,60.526315789473685
libQt6Widgets.so.6,7590.0,96.10013175230566
libX11.so.6,2364.0,95.47377326565143
libXau.so.6,16.0,100.0
libXdmcp.so.6,84.0,100.0
libb2.so.1,106.0,100.0
libbrotlicommon.so.1,9.0,100.0
libbrotlidec.so.1,14.0,100.0
libbsd.so.0,214.0,92.52336448598132
libbz2.so.1.0,33.0,93.93939393939394
libc.so.6,19314.0,98.17748783266023
libcap.so.2,70.0,97.14285714285714
libdbus-1.so.3,567.0,97.35449735449735
libdouble-conversion.so.3,51.0,100.0
libexpat.so.1,69.0,98.55072463768117
libfontconfig.so.1,238.0,100.0
libfreetype.so.6,220.0,99.54545454545455
libgcc_s.so.1,1638.0,99.02319902319903
libgcrypt.so.20,215.0,95.34883720930233
libglib-2.0.so.0,1850.0,98.64864864864865
libgomp.so.1,486.0,98.14814814814815
libgpg-error.so.0,158.0,86.70886075949366
libgraphite2.so.3,70.0,98.57142857142858
libharfbuzz.so.0,502.0,100.0
libicui18n.so.74,7345.0,99.8502382573179
libicuuc.so.74,3306.0,99.33454325468844
liblz4.so.1,108.0,96.29629629629629
liblzma.so.5,114.0,98.24561403508771
libm.so.6,1791.0,97.37576772752652
libmd.so.0,178.0,100.0
libmd4c.so.0,1.0,100.0
libmetis.so,851.0,98.00235017626322
libpcre2-16.so.0,73.0,98.63013698630137
libpcre2-8.so.0,73.0,98.63013698630137
libpng16.so.16,246.0,97.15447154471545
libstdc++.so.6,12753.0,97.0516741158943
libsystemd.so.0,636.0,98.42767295597484
libtbb.so.12,184.0,79.34782608695652
libxcb.so.1,1348.0,99.1839762611276
libxkbcommon.so.0,96.0,97.91666666666666
libz.so.1,88.0,93.18181818181817
libzstd.so.1,185.0,97.83783783783784
