Library;Function
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNKSt12__basic_fileIcE7is_openEv@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNKSt5ctypeIcE13_M_widen_initEv@GLIBCXX_3.4.11
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSdD2Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSi10_M_extractIdEERSiRT_@GLIBCXX_3.4.9
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSi10_M_extractIfEERSiRT_@GLIBCXX_3.4.9
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSi10_M_extractIjEERSiRT_@GLIBCXX_3.4.9
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSo3putEc@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSo5flushEv@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSo9_M_insertIdEERSoT_@GLIBCXX_3.4.9
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSo9_M_insertImEERSoT_@GLIBCXX_3.4.9
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSolsEi@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt12__basic_fileIcED1Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt13basic_filebufIcSt11char_traitsIcEE4openEPKcSt13_Ios_Openmode@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt13basic_filebufIcSt11char_traitsIcEE5closeEv@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt13basic_filebufIcSt11char_traitsIcEEC1Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt13basic_filebufIcSt11char_traitsIcEED1Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt14basic_ifstreamIcSt11char_traitsIcEED1Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt6chrono3_V212steady_clock3nowEv@GLIBCXX_3.4.19
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt6localeC1Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt6localeD1Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt6thread15_M_start_threadESt10unique_ptrINS_6_StateESt14default_deleteIS1_EEPFvvE@GLIBCXX_3.4.22
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt6thread20hardware_concurrencyEv@GLIBCXX_3.4.17
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt6thread4joinEv@GLIBCXX_3.4.11
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt6thread6_StateD2Ev@GLIBCXX_3.4.22
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE15_M_replace_coldEPcmPKcmm@GLIBCXX_3.4.31
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt7__cxx1115basic_stringbufIcSt11char_traitsIcESaIcEE7_M_syncEPcmm@GLIBCXX_3.4.21
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt7__cxx1118basic_stringstreamIcSt11char_traitsIcESaIcEED1Ev@GLIBCXX_3.4.21
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt7__cxx1119basic_istringstreamIcSt11char_traitsIcESaIcEED1Ev@GLIBCXX_3.4.21
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt8ios_baseC2Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt8ios_baseD2Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt9basic_iosIcSt11char_traitsIcEE4initEPSt15basic_streambufIcS1_E@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt9basic_iosIcSt11char_traitsIcEE5clearESt12_Ios_Iostate@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZSt11_Hash_bytesPKvmm@CXXABI_1.3.5
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@GLIBCXX_3.4.9
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZSt16__throw_bad_castv@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZSt17__throw_bad_allocv@GLIBCXX_3.4
