Library;Function
/lib/x86_64-linux-gnu/libGL.so.1;XCreateWindow
/lib/x86_64-linux-gnu/libGL.so.1;XDestroyWindow
/lib/x86_64-linux-gnu/libGL.so.1;XFree
/lib/x86_64-linux-gnu/libGL.so.1;XQueryExtension
/lib/x86_64-linux-gnu/libGL.so.1;glBegin
/lib/x86_64-linux-gnu/libGL.so.1;glBindTexture
/lib/x86_64-linux-gnu/libGL.so.1;glBlendFunc
/lib/x86_64-linux-gnu/libGL.so.1;glClear
/lib/x86_64-linux-gnu/libGL.so.1;glClearColor
/lib/x86_64-linux-gnu/libGL.so.1;glColor3f
/lib/x86_64-linux-gnu/libGL.so.1;glColor3fv
/lib/x86_64-linux-gnu/libGL.so.1;glColorMaterial
/lib/x86_64-linux-gnu/libGL.so.1;glColorPointer
/lib/x86_64-linux-gnu/libGL.so.1;glCullFace
/lib/x86_64-linux-gnu/libGL.so.1;glDeleteTextures
/lib/x86_64-linux-gnu/libGL.so.1;glDepthFunc
/lib/x86_64-linux-gnu/libGL.so.1;glDisable
/lib/x86_64-linux-gnu/libGL.so.1;glDisableClientState
/lib/x86_64-linux-gnu/libGL.so.1;glDrawArrays
/lib/x86_64-linux-gnu/libGL.so.1;glDrawElements
/lib/x86_64-linux-gnu/libGL.so.1;glEnable
/lib/x86_64-linux-gnu/libGL.so.1;glEnableClientState
/lib/x86_64-linux-gnu/libGL.so.1;glEnd
/lib/x86_64-linux-gnu/libGL.so.1;glFrontFace
/lib/x86_64-linux-gnu/libGL.so.1;glGenTextures
/lib/x86_64-linux-gnu/libGL.so.1;glGetIntegerv
/lib/x86_64-linux-gnu/libGL.so.1;glGetTexEnviv
/lib/x86_64-linux-gnu/libGL.so.1;glHint
/lib/x86_64-linux-gnu/libGL.so.1;glLightModeli
/lib/x86_64-linux-gnu/libGL.so.1;glLineWidth
/lib/x86_64-linux-gnu/libGL.so.1;glLoadIdentity
/lib/x86_64-linux-gnu/libGL.so.1;glLoadMatrixd
/lib/x86_64-linux-gnu/libGL.so.1;glMaterialf
/lib/x86_64-linux-gnu/libGL.so.1;glMaterialfv
/lib/x86_64-linux-gnu/libGL.so.1;glMatrixMode
/lib/x86_64-linux-gnu/libGL.so.1;glMultMatrixd
/lib/x86_64-linux-gnu/libGL.so.1;glNormalPointer
/lib/x86_64-linux-gnu/libGL.so.1;glOrtho
/lib/x86_64-linux-gnu/libGL.so.1;glPixelStorei
/lib/x86_64-linux-gnu/libGL.so.1;glPointSize
/lib/x86_64-linux-gnu/libGL.so.1;glPolygonMode
/lib/x86_64-linux-gnu/libGL.so.1;glPolygonOffset
/lib/x86_64-linux-gnu/libGL.so.1;glPopAttrib
/lib/x86_64-linux-gnu/libGL.so.1;glPopMatrix
/lib/x86_64-linux-gnu/libGL.so.1;glPushAttrib
