Library;Function
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNKSt9basic_iosIcSt11char_traitsIcEE3eofEv@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNKSt9basic_iosIcSt11char_traitsIcEE4failEv@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSirsERd@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSirsERi@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSolsEd@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSolsEi@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt14basic_ifstreamIcSt11char_traitsIcEE4openEPKcSt13_Ios_Openmode@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt14basic_ifstreamIcSt11char_traitsIcEE5closeEv@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt14basic_ifstreamIcSt11char_traitsIcEE7is_openEv@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt14basic_ifstreamIcSt11char_traitsIcEEC1Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt14basic_ifstreamIcSt11char_traitsIcEED1Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt14basic_ofstreamIcSt11char_traitsIcEE4openEPKcSt13_Ios_Openmode@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt14basic_ofstreamIcSt11char_traitsIcEE5closeEv@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt14basic_ofstreamIcSt11char_traitsIcEE7is_openEv@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt14basic_ofstreamIcSt11char_traitsIcEEC1Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZNSt14basic_ofstreamIcSt11char_traitsIcEED1Ev@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZSt17__istream_extractRSiPcl@GLIBCXX_3.4.29
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZSt21ios_base_library_initv@GLIBCXX_3.4.32
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZStlsISt11char_traitsIcEERSt13basic_ostreamIcT_ES5_PKc@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZdaPv@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_ZdlPv@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_Znam@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;_Znwm@GLIBCXX_3.4
/lib/x86_64-linux-gnu/libstdc++.so.6;__cxa_throw_bad_array_new_length@CXXABI_1.3.8
/lib/x86_64-linux-gnu/libstdc++.so.6;__gxx_personality_v0@CXXABI_1.3
/lib/x86_64-linux-gnu/libstdc++.so.6;clock@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libstdc++.so.6;exit@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libstdc++.so.6;free@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libstdc++.so.6;rand@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libstdc++.so.6;sin@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libstdc++.so.6;time@GLIBC_2.2.5
