Library;Function
/lib/x86_64-linux-gnu/libgraphite2.so.3;log@GLIBC_2.29
/lib/x86_64-linux-gnu/liblz4.so.1;free@GLIBC_2.2.5
/lib/x86_64-linux-gnu/liblz4.so.1;read@GLIBC_2.2.5
/lib/x86_64-linux-gnu/liblz4.so.1;sin@GLIBC_2.2.5
/lib/x86_64-linux-gnu/liblz4.so.1;write@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;calloc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;fclose@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;feof@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;fflush@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;fgets@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;fopen@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;fprintf@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;fputc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;fread@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;free@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;fwrite@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;log@GLIBC_2.29
/lib/x86_64-linux-gnu/libgpg-error.so.0;malloc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;printf@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;puts@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;read@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;realloc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;sin@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;strdup@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;vsnprintf@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgpg-error.so.0;write@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgomp.so.1;calloc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgomp.so.1;exit@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgomp.so.1;exp@GLIBC_2.29
/lib/x86_64-linux-gnu/libgomp.so.1;free@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgomp.so.1;malloc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgomp.so.1;memcpy@GLIBC_2.14
/lib/x86_64-linux-gnu/libgomp.so.1;read@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgomp.so.1;realloc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgomp.so.1;sin@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgcrypt.so.20;calloc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgcrypt.so.20;exp@GLIBC_2.29
/lib/x86_64-linux-gnu/libgcrypt.so.20;free@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgcrypt.so.20;log@GLIBC_2.29
