Library;# Unused Functions;% Unused Functions;# Total Functions;Direct
/lib/x86_64-linux-gnu/libGL.so.1;3430;98,84726224783861%;3470;1
/lib/x86_64-linux-gnu/libGLU.so.1;56;94,91525423728814%;59;1
/lib/x86_64-linux-gnu/libicui18n.so.74;7334;99,8502382573179%;7345;0
/lib/x86_64-linux-gnu/libpng16.so.16;239;97,15447154471545%;246;0
/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2;20;86,95652173913044%;23;1
/lib/x86_64-linux-gnu/libQt6DBus.so.6;404;99,75308641975309%;405;0
/lib/x86_64-linux-gnu/libm.so.6;1084;98,90510948905109%;1096;1
/lib/x86_64-linux-gnu/libxkbcommon.so.0;94;97,91666666666666%;96;0
/lib/x86_64-linux-gnu/libGLX.so.0;41;100,0%;41;0
/lib/x86_64-linux-gnu/libglib-2.0.so.0;1825;98,64864864864865%;1850;0
/lib/x86_64-linux-gnu/libfreetype.so.6;219;99,54545454545455%;220;0
/lib/x86_64-linux-gnu/libbrotlicommon.so.1;9;100,0%;9;0
/lib/x86_64-linux-gnu/libsystemd.so.0;626;98,42767295597484%;636;0
/lib/x86_64-linux-gnu/libmd.so.0;89;100,0%;89;0
/lib/x86_64-linux-gnu/libexpat.so.1;68;98,55072463768117%;69;0
/lib/x86_64-linux-gnu/libc.so.6;2797;97,52440725244072%;2868;1
/lib/x86_64-linux-gnu/libicuuc.so.74;3284;99,33454325468844%;3306;0
/lib/x86_64-linux-gnu/libz.so.1;82;93,18181818181817%;88;0
/lib/x86_64-linux-gnu/libbz2.so.1.0;31;93,93939393939394%;33;0
/lib/x86_64-linux-gnu/libQt6OpenGL.so.6;943;99,57761351636748%;947;0
/lib/x86_64-linux-gnu/libQt6Core.so.6;5865;98,2247529727014%;5971;1
/lib/x86_64-linux-gnu/libQt6Gui.so.6;7599;98,57309638085356%;7709;1
/lib/x86_64-linux-gnu/libfontconfig.so.1;238;100,0%;238;0
/lib/x86_64-linux-gnu/libQt6Charts.so.6;3824;98,37921276048365%;3887;1
/lib/x86_64-linux-gnu/libicudata.so.74;NA;NA;NA;0
/lib/x86_64-linux-gnu/libharfbuzz.so.0;502;100,0%;502;0
/lib/x86_64-linux-gnu/libpcre2-16.so.0;72;98,63013698630137%;73;0
/lib/x86_64-linux-gnu/libpcre2-8.so.0;72;98,63013698630137%;73;0
/lib/x86_64-linux-gnu/libQt6Core5Compat.so.6;326;97,60479041916167%;334;1
/lib/x86_64-linux-gnu/libcap.so.2;68;97,14285714285714%;70;0
/lib/x86_64-linux-gnu/libOpenGL.so.0;1005;96,26436781609196%;1044;0
/lib/x86_64-linux-gnu/libXau.so.6;8;100,0%;8;0
/lib/x86_64-linux-gnu/libQt6OpenGLWidgets.so.6;23;60,526315789473685%;38;1
/lib/x86_64-linux-gnu/libxcb.so.1;671;99,55489614243324%;674;0
/lib/x86_64-linux-gnu/liblzma.so.5;112;98,24561403508771%;114;0
/lib/x86_64-linux-gnu/liblz4.so.1;104;96,29629629629629%;108;0
/lib/x86_64-linux-gnu/libdouble-conversion.so.3;53;100,0%;53;0
/lib/x86_64-linux-gnu/libbrotlidec.so.1;14;100,0%;14;0
/lib/x86_64-linux-gnu/libX11.so.6;1178;99,66159052453469%;1182;0
/lib/x86_64-linux-gnu/libmd4c.so.0;1;100,0%;1;0
/lib/x86_64-linux-gnu/libgpg-error.so.0;137;86,70886075949366%;158;0
/lib/x86_64-linux-gnu/libQt6Widgets.so.6;7294;96,10013175230566%;7590;1
/lib/x86_64-linux-gnu/libgraphite2.so.3;69;98,57142857142858%;70;0
/lib/x86_64-linux-gnu/libgcrypt.so.20;205;95,34883720930233%;215;0
/lib/x86_64-linux-gnu/libmetis.so;834;98,00235017626322%;851;1
/lib/x86_64-linux-gnu/libXdmcp.so.6;42;100,0%;42;0
/lib/x86_64-linux-gnu/libGLdispatch.so.0;15;93,75%;16;0
/lib/x86_64-linux-gnu/libEGL.so.1;43;97,72727272727273%;44;0
/lib/x86_64-linux-gnu/libdbus-1.so.3;552;97,35449735449735%;567;0
/lib/x86_64-linux-gnu/libgcc_s.so.1;179;98,35164835164835%;182;1
/lib/x86_64-linux-gnu/libstdc++.so.6;4413;96,5012027115679%;4573;1
/lib/x86_64-linux-gnu/libzstd.so.1;181;97,83783783783784%;185;0
/lib/x86_64-linux-gnu/libbsd.so.0;100;93,45794392523365%;107;0
/lib/x86_64-linux-gnu/libgomp.so.1;477;98,14814814814815%;486;0
/lib/x86_64-linux-gnu/libb2.so.1;106;100,0%;106;0
